"IndicatorId","Label","MeasurementType","Denominator"
"FE_FRTR_W_A10","Age specific fertility rate: 10-14","Rate","Per thousand women years exposed in the period 1-36 months prior to interview"
"FE_FRTR_W_A15","Age specific fertility rate: 15-19","Rate","Per thousand women years exposed in the period 1-36 months prior to interview"
"FE_FRTR_W_A20","Age specific fertility rate: 20-24","Rate","Per thousand women years exposed in the period 1-36 months prior to interview"
"FE_FRTR_W_A25","Age specific fertility rate: 25-29","Rate","Per thousand women years exposed in the period 1-36 months prior to interview"
"FE_FRTR_W_A30","Age specific fertility rate: 30-34","Rate","Per thousand women years exposed in the period 1-36 months prior to interview"
"FE_FRTR_W_A35","Age specific fertility rate: 35-39","Rate","Per thousand women years exposed in the period 1-36 months prior to interview"
"FE_FRTR_W_A40","Age specific fertility rate: 40-44","Rate","Per thousand women years exposed in the period 1-36 months prior to interview"
"FE_FRTR_W_A45","Age specific fertility rate: 45-49","Rate","Per thousand women years exposed in the period 1-36 months prior to interview"
"FE_FRTR_W_TFR","Total fertility rate 15-49","Rate","Per woman"
"FE_FRTR_W_TF4","Total fertility rate 15-44","Rate","Per woman"
"FE_FRTR_W_GFR","General fertility rate","Rate","Per thousand women age 15-44"
"FE_FRTR_W_CBR","Crude birth rate","Rate","Per thousand population"
"FE_FRTY_W_PRG","Percentage of women currently pregnant","Percent","All women"
"FE_FRTY_W_NPG","Number of women age 15-49","Number","All women"
"FE_FRTY_W_UPG","Number of women age 15-49 (unweighted)","Number","All women"
"FE_FRTY_W_MNC","Completed fertility of women age 40-49","Mean","All women age 40-49"
"FE_FRTY_W_N49","Number of women age 40-49","Number","All women age 40-49"
"FE_FRTY_W_U49","Number of women age 40-49 (unweighted)","Number","All women age 40-49"
"FE_FRTT_W_A10","Age specific fertility rate: 10-14 (five year periods)","Rate","Per thousand women years exposed in the period"
"FE_FRTT_W_A15","Age specific fertility rate: 15-19 (five year periods)","Rate","Per thousand women years exposed in the period"
"FE_FRTT_W_A20","Age specific fertility rate: 20-24 (five year periods)","Rate","Per thousand women years exposed in the period"
"FE_FRTT_W_A25","Age specific fertility rate: 25-29 (five year periods)","Rate","Per thousand women years exposed in the period"
"FE_FRTT_W_A30","Age specific fertility rate: 30-34 (five year periods)","Rate","Per thousand women years exposed in the period"
"FE_FRTT_W_A35","Age specific fertility rate: 35-39 (five year periods)","Rate","Per thousand women years exposed in the period"
"FE_FRTT_W_A40","Age specific fertility rate: 40-44 (five year periods)","Rate","Per thousand women years exposed in the period"
"FE_FRTT_W_A45","Age specific fertility rate: 45-49 (five year periods)","Rate","Per thousand women years exposed in the period"
"FE_CEBA_W_CH0","Women with no children ever born","Percent","All women"
"FE_CEBA_W_CH1","Women with 1 child ever born","Percent","All women"
"FE_CEBA_W_CH2","Women with 2 children ever born","Percent","All women"
"FE_CEBA_W_CH3","Women with 3 children ever born","Percent","All women"
"FE_CEBA_W_CH4","Women with 4 children ever born","Percent","All women"
"FE_CEBA_W_CH5","Women with 5 children ever born","Percent","All women"
"FE_CEBA_W_CH6","Women with 6 children ever born","Percent","All women"
"FE_CEBA_W_CH7","Women with 7 children ever born","Percent","All women"
"FE_CEBA_W_CH8","Women with 8 children ever born","Percent","All women"
"FE_CEBA_W_CH9","Women with 9 children ever born","Percent","All women"
"FE_CEBA_W_C10","Women with 10+ children ever born","Percent","All women"
"FE_CEBA_W_TOT","Women: Total","Percent","All women"
"FE_CEBA_W_NUM","Number of women","Number","All women"
"FE_CEBA_W_UNW","Number of women (unweighted)","Number","All women"
"FE_CEBA_W_MNC","Mean number of children ever born","Mean","All women"
"FE_CEBA_W_MNL","Mean number of living children","Mean","All women"
"FE_CEBM_W_CH0","Married women with no children ever born","Percent","Currently married women"
"FE_CEBM_W_CH1","Married women with 1 child ever born","Percent","Currently married women"
"FE_CEBM_W_CH2","Married women with 2 children ever born","Percent","Currently married women"
"FE_CEBM_W_CH3","Married women with 3 children ever born","Percent","Currently married women"
"FE_CEBM_W_CH4","Married women with 4 children ever born","Percent","Currently married women"
"FE_CEBM_W_CH5","Married women with 5 children ever born","Percent","Currently married women"
"FE_CEBM_W_CH6","Married women with 6 children ever born","Percent","Currently married women"
"FE_CEBM_W_CH7","Married women with 7 children ever born","Percent","Currently married women"
"FE_CEBM_W_CH8","Married women with 8 children ever born","Percent","Currently married women"
"FE_CEBM_W_CH9","Married women with 9 children ever born","Percent","Currently married women"
"FE_CEBM_W_C10","Married women with 10+ children ever born","Percent","Currently married women"
"FE_CEBM_W_TOT","Married women: Total","Percent","Currently married women"
"FE_CEBM_W_NUM","Number of married women","Number","Currently married women"
"FE_CEBM_W_UNW","Number of married women (unweighted)","Number","Currently married women"
"FE_CEBM_W_MNC","Mean number of children ever born to married women","Mean","Currently married women"
"FE_CEBM_W_MNL","Mean number of living children to married women","Mean","Currently married women"
"FE_BINT_C_I07","Previous birth interval: 7-17 months","Percent","Non-first births"
"FE_BINT_C_I18","Previous birth interval: 18-23 months","Percent","Non-first births"
"FE_BINT_C_I24","Previous birth interval: 24-35 months","Percent","Non-first births"
"FE_BINT_C_I36","Previous birth interval: 36-47 months","Percent","Non-first births"
"FE_BINT_C_I48","Previous birth interval: 48-59 months","Percent","Non-first births"
"FE_BINT_C_I60","Previous birth interval: 60+ months","Percent","Non-first births"
"FE_BINT_C_TOT","Previous birth interval: Total","Percent","Non-first births"
"FE_BINT_C_NUM","Number of non-first births","Number","Non-first births"
"FE_BINT_C_UNW","Number of non-first births (unweighted)","Number","Non-first births"
"FE_BINT_C_MED","Median birth interval (months)","Median","Non-first births"
"FE_BORD_C_BO1","Births of birth order 1","Percent","Births in the 2 years preceding the survey"
"FE_BORD_C_BO2","Births of birth order 2","Percent","Births in the 2 years preceding the survey"
"FE_BORD_C_BO3","Births of birth order 3","Percent","Births in the 2 years preceding the survey"
"FE_BORD_C_BO4","Births of birth order 4","Percent","Births in the 2 years preceding the survey"
"FE_BORD_C_BO5","Births of birth order 5+","Percent","Births in the 2 years preceding the survey"
"FE_BORD_C_TOT","Births in the 2 years preceding the survey: Total","Percent","Births in the 2 years preceding the survey"
"FE_BORD_C_NUM","Number of births in the 2 years preceding the survey","Number","Births in the 2 years preceding the survey"
"FE_BORD_C_UNW","Number of births in the 2 years preceding the survey (Unweighted)","Number","Births in the 2 years preceding the survey"
"FE_PPIS_W_AMN","Postpartum amenorrheic","Percent","Births in the period"
"FE_PPIS_W_ABS","Postpartum abstaining","Percent","Births in the period"
"FE_PPIS_W_INS","Postpartum insusceptible","Percent","Births in the period"
"FE_PPIS_W_NUM","Number of births","Number","Births in the period"
"FE_PPIS_W_UNW","Number of births (unweighted)","Number","Births in the period"
"FE_PPIS_W_MNA","Mean duration postpartum amenorrheic","Mean","Births in the 3 years preceding the survey"
"FE_PPIS_W_MNB","Mean duration postpartum abstaining","Mean","Births in the 3 years preceding the survey"
"FE_PPIS_W_MNI","Mean duration postpartum insusceptible","Mean","Births in the 3 years preceding the survey"
"FE_PPID_W_MDA","Median duration postpartum amenorrheic","Median","Births in the 3 years preceding the survey"
"FE_PPID_W_MDB","Median duration postpartum abstaining","Median","Births in the 3 years preceding the survey"
"FE_PPID_W_MDI","Median duration postpartum insusceptible","Median","Births in the 3 years preceding the survey"
"FE_MENO_W_PCT","Women age 30-49 menopausal","Percent","Women age 30-49"
"FE_MENO_W_NUM","Number of women age 30-49","Number","Women age 30-49"
"FE_MENO_W_UNW","Number of women age 30-49 (unweighted)","Number","Women age 30-49"
"FE_BBAG_W_A15","Women giving birth by age 15","Percent","All women"
"FE_BBAG_W_A18","Women giving birth by age 18","Percent","All women"
"FE_BBAG_W_A20","Women giving birth by age 20","Percent","All women"
"FE_BBAG_W_A22","Women giving birth by age 22","Percent","All women"
"FE_BBAG_W_A25","Women giving birth by age 25","Percent","All women"
"FE_BBAG_W_NEV","Women who never gave birth","Percent","All women"
"FE_BBAG_W_NUM","Number of women","Number","All women"
"FE_BBAG_W_UNW","Number of women (unweighted)","Number","All women"
"FE_AAFB_W_M20","Median age at first birth for women age 20-24","Median","Women age 20-24"
"FE_AAFB_W_M25","Median age at first birth for women age 25-29","Median","Women age 25-29"
"FE_AAFB_W_M30","Median age at first birth for women age 30-34","Median","Women age 30-34"
"FE_AAFB_W_M35","Median age at first birth for women age 35-39","Median","Women age 35-39"
"FE_AAFB_W_M40","Median age at first birth for women age 40-44","Median","Women age 40-44"
"FE_AAFB_W_M45","Median age at first birth for women age 45-49","Median","Women age 45-49"
"FE_AAFB_W_M2A","Median age at first birth for women age 20-49","Median","Women age 20-49"
"FE_AAFB_W_M2B","Median age at first birth for women age 25-49","Median","Women age 25-49"
"FE_TNPG_W_LVB","Teenagers who are mothers","Percent","Women age 15-19"
"FE_TNPG_W_PRG","Teenagers who are pregnant with their first child","Percent","Women age 15-19"
"FE_TNPG_W_CBR","Teenagers who have begun childbearing","Percent","Women age 15-19"
"FE_TNPG_W_DKM","Teenagers with don't know or missing information on childbearing","Percent","Women age 15-19"
"FE_TNPG_W_NUM","Number of women age 15-19","Number","Women age 15-19"
"FE_TNPG_W_UNW","Number of women age 15-19 (unweighted)","Number","Women age 15-19"
"PR_DESC_W_ASN","Desire for more children: Have another soon","Percent","Currently married women"
"PR_DESC_W_ALT","Desire for more children: Have another later","Percent","Currently married women"
"PR_DESC_W_AUN","Desire for more children: Wants, unsure timing","Percent","Currently married women"
"PR_DESC_W_UND","Desire for more children: Undecided","Percent","Currently married women"
"PR_DESC_W_WNM","Desire for more children: Wants no more","Percent","Currently married women"
"PR_DESC_W_STR","Desire for more children: Sterilized","Percent","Currently married women"
"PR_DESC_W_INF","Desire for more children: Declared infecund","Percent","Currently married women"
"PR_DESC_W_MIS","Desire for more children: Missing","Percent","Currently married women"
"PR_DESC_W_TOT","Married women: Total","Percent","Currently married women"
"PR_DESC_W_NUM","Number of currently married women","Number","Currently married women"
"PR_DESC_W_UNW","Number of currently married women (unweighted)","Number","Currently married women"
"PR_DESC_M_ASN","Desire for more children [Men]: Have another soon","Percent","Currently married men"
"PR_DESC_M_ALT","Desire for more children [Men]: Have another later","Percent","Currently married men"
"PR_DESC_M_AUN","Desire for more children [Men]: Wants, unsure timing","Percent","Currently married men"
"PR_DESC_M_UND","Desire for more children [Men]: Undecided","Percent","Currently married men"
"PR_DESC_M_WNM","Desire for more children [Men]: Wants no more","Percent","Currently married men"
"PR_DESC_M_STR","Desire for more children [Men]: Sterilized","Percent","Currently married men"
"PR_DESC_M_INF","Desire for more children [Men]: Declared infecund","Percent","Currently married men"
"PR_DESC_M_MIS","Desire for more children [Men]: Missing","Percent","Currently married men"
"PR_DESC_M_TOT","Married men: Total","Percent","Currently married men"
"PR_DESC_M_NUM","Number of currently married men","Number","Currently married men"
"PR_DESC_M_UNW","Number of currently married men (unweighted)","Number","Currently married men"
"PR_DESL_W_WNM","Women who want no more children","Percent","Currently married women"
"PR_DESL_W_NUM","Number of currently married women","Number","Currently married women"
"PR_DESL_W_UNW","Number of currently married women (unweighted)","Number","Currently married women"
"PR_DESL_M_WNM","Men who want no more children","Percent","Currently married men"
"PR_DESL_M_NUM","Number of currently married men","Number","Currently married men"
"PR_DESL_M_UNW","Number of currently married men (unweighted)","Number","Currently married men"
"PR_IDLC_W_ID0","Ideal number of children [Women]: 0","Percent","Women interviewed"
"PR_IDLC_W_ID1","Ideal number of children [Women]: 1","Percent","Women interviewed"
"PR_IDLC_W_ID2","Ideal number of children [Women]: 2","Percent","Women interviewed"
"PR_IDLC_W_ID3","Ideal number of children [Women]: 3","Percent","Women interviewed"
"PR_IDLC_W_ID4","Ideal number of children [Women]: 4","Percent","Women interviewed"
"PR_IDLC_W_ID5","Ideal number of children [Women]: 5","Percent","Women interviewed"
"PR_IDLC_W_ID6","Ideal number of children [Women]: 6+","Percent","Women interviewed"
"PR_IDLC_W_IDN","Ideal number of children [Women]: Non-numeric response","Percent","Women interviewed"
"PR_IDLC_W_TOT","Women: Total","Percent","Women interviewed"
"PR_IDLC_W_NUM","Number of women","Number","Women interviewed"
"PR_IDLC_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"PR_IDLC_W_MNA","Mean ideal number of children for all women","Mean","All women who gave numeric responses"
"PR_IDLC_W_NMA","Number of women with a numeric response for ideal number of children","Number","All women who gave numeric responses"
"PR_IDLC_W_UNA","Number of women with a numeric response for ideal number of children (unweighted)","Number","All women who gave numeric responses"
"PR_IDLC_W_MNM","Mean ideal number of children for currently married women","Mean","Currently married women who gave numeric responses"
"PR_IDLC_W_NMM","Number of married women with a numeric response for ideal number of children","Number","Currently married women who gave numeric responses"
"PR_IDLC_W_UNM","Number of married women with a numeric response for ideal number of children (unweighted)","Number","Currently married women who gave numeric responses"
"PR_IDLC_M_ID0","Ideal number of children [Men]: 0","Percent","Men interviewed"
"PR_IDLC_M_ID1","Ideal number of children [Men]: 1","Percent","Men interviewed"
"PR_IDLC_M_ID2","Ideal number of children [Men]: 2","Percent","Men interviewed"
"PR_IDLC_M_ID3","Ideal number of children [Men]: 3","Percent","Men interviewed"
"PR_IDLC_M_ID4","Ideal number of children [Men]: 4","Percent","Men interviewed"
"PR_IDLC_M_ID5","Ideal number of children [Men]: 5","Percent","Men interviewed"
