Sex, NAME     ,    LABEL
Men, mcaseid  , case identification 
Men, mv000    ,   country code and phase  
Men, mv001    ,   cluster number  
Men, mv002    ,   household number    
Men, mv003    ,   respondent's line number    
Men, mv004    ,   ultimate area unit  
Men, mv005    ,   sample weight   
Men, mv006    ,   month of interview  
Men, mv007    ,   year of interview   
Men, mv008    ,   date of interview (cmc) 
Men, mv009    ,   respondent's month of birth 
Men, mv010    ,   respondent's year of birth  
Men, mv011    ,   date of birth (cmc) 
Men, mv012    ,   current age - respondent    
Men, mv013    ,   age 5-year groups   
Men, mv014    ,   completeness of information 
Men, mv015    ,   result of individual interview  
Men, mv016    ,   day of interview    
Men, mv021    ,   primary sampling unit   
Men, mv022    ,   sample stratum number   
Men, mv023    ,   sample domain   
Men, mv024    ,   region  
Men, mv025    ,   type of place of residence  
Men, mv026    ,   de facto place of residence 
Men, mv027    ,   number of visits    
Men, mv028    ,   interviewer identification  
Men, mv029    ,   keyer identification    
Men, mv030    ,   field supervisor    
Men, mv031    ,   field editor    
Men, mv032    ,   office editor   
Men, mv033    ,   ultimate area selection prob.   
Men, mv034_1  , line numbers of wives/ partners 
Men, mv034_2  , line numbers of wives/ partners 
Men, mv034_3  , line numbers of wives/ partners 
Men, mv034_4  , line numbers of wives/ partners 
Men, mv034_5  , line numbers of wives/ partners 
Men, mv034_6  , line numbers of wives/ partners 
Men, mv034_7  , line numbers of wives/ partners 
Men, mv034_8  , line numbers of wives/ partners 
Men, mv034a_1 ,    wife or partner 
Men, mv034a_2 ,    wife or partner 
Men, mv034a_3 ,    wife or partner 
Men, mv034a_4 ,    wife or partner 
Men, mv034a_5 ,    wife or partner 
Men, mv034a_6 ,    wife or partner 
Men, mv034a_7 ,    wife or partner 
Men, mv034a_8 ,    wife or partner 
Men, mv034b_1 ,    age of wife/partner 
Men, mv034b_2 ,    age of wife/partner 
Men, mv034b_3 ,    age of wife/partner 
Men, mv034b_4 ,    age of wife/partner 
Men, mv034b_5 ,    age of wife/partner 
