"",".",""
"1","case identification","caseid"
"2","country code and phase","v000"
"3","cluster number","v001"
"4","household number","v002"
"5","respondent's line number","v003"
"6","ultimate area unit","v004"
"7","women's individual sample weight (6 decimals)","v005"
"8","month of interview","v006"
"9","year of interview","v007"
"10","date of interview (cmc)","v008"
"11","respondent's month of birth","v009"
"12","respondent's year of birth","v010"
"13","date of birth (cmc)","v011"
"14","respondent's current age","v012"
"15","age in 5-year groups","v013"
"16","completeness of age information","v014"
"17","result of individual interview","v015"
"18","day of interview","v016"
"19","na - cmc start of calendar","v017"
"20","na - row of month of interview","v018"
"21","na - length of calendar","v019"
"22","na - number of calendar columns","v019a"
"23","ever-married sample","v020"
"24","primary sampling unit","v021"
"25","sample strata for sampling errors","v022"
"26","stratification used in sample design","v023"
"27","region","v024"
"28","type of place of residence","v025"
"29","na - de facto place of residence","v026"
"30","number of visits","v027"
"31","interviewer identification","v028"
"32","keyer identification","v029"
"33","field supervisor","v030"
"34","field editor","v031"
"35","na - office editor","v032"
"36","line number of husband","v034"
"37","cluster altitude in meters","v040"
"38","household selected for hemoglobin","v042"
"39","selected for domestic violence module","v044"
"40","country code and phase","mv000"
"41","cluster number","mv001"
"42","household number","mv002"
"43","respondent's line number","mv003"
"44","ultimate area unit","mv004"
"45","men's sample weight (6 decimals)","mv005"
"46","month of interview","mv006"
"47","year of interview","mv007"
"48","date of interview (cmc)","mv008"
"49","month of birth","mv009"
"50","year of birth","mv010"
"51","date of birth (cmc)","mv011"
"52","current age","mv012"
"53","age in 5-year groups","mv013"
"54","completeness of age information","mv014"
"55","result of interview","mv015"
"56","day of interview","mv016"
"57","primary sampling unit","mv021"
"58","sample stratum number","mv022"
"59","sample domain","mv023"
"60","region","mv024"
"61","type of place of residence","mv025"
"62","na - de facto place of residence","mv026"
"63","number of visits","mv027"
"64","interviewer identification","mv028"
"65","keyer identification","mv029"
"66","field supervisor","mv030"
"67","field editor","mv031"
"68","na - office editor","mv032"
"69","line number of wife/partner","mv034_1"
"70","line number of wife/partner","mv034_2"
"71","line number of wife/partner","mv034_3"
"72","line number of wife/partner","mv034_4"
"73","line number of wife/partner","mv034_5"
"74","line number of wife/partner","mv034_6"
"75","line number of wife/partner","mv034_7"
"76","line number of wife/partner","mv034_8"
"77","na - wife or partner","mv034a_1"
"78","na - wife or partner","mv034a_2"
"79","na - wife or partner","mv034a_3"
"80","na - wife or partner","mv034a_4"
"81","na - wife or partner","mv034a_5"
"82","na - wife or partner","mv034a_6"
"83","na - wife or partner","mv034a_7"
"84","na - wife or partner","mv034a_8"
"85","age of wife/partner","mv034b_1"
"86","age of wife/partner","mv034b_2"
"87","age of wife/partner","mv034b_3"
"88","age of wife/partner","mv034b_4"
"89","age of wife/partner","mv034b_5"
"90","age of wife/partner","mv034b_6"
"91","age of wife/partner","mv034b_7"
"92","age of wife/partner","mv034b_8"
"93","number of wives/partners","mv035"
"94","time interview started (hhmm - 24 hour clock)","mv801"
"95","time interview ended (hhmm - 24 hour clock)","mv802"
"96","length of interview in minutes","mv803"
"97","region","v101"
"98","type of place of residence","v102"
"99","na - childhood place of residence","v103"
"100","na - years lived in place of residence","v104"
"101","na - type of place of previous residence","v105"
"102","highest educational level","v106"
"103","highest year of education","v107"
"104","source of drinking water","v113"
"105","time to get to water source","v115"
"106","type of toilet facility","v116"
"107","household has: electricity","v119"
"108","household has: radio","v120"
"109","household has: television","v121"
"110","household has: refrigerator","v122"
"111","household has: bicycle","v123"
"112","household has: motorcycle/scooter","v124"
"113","household has: car/truck","v125"
"114","main floor material","v127"
"115","main wall material","v128"
"116","main roof material","v129"
"117","religion","v130"
"118","na - ethnicity","v131"
"119","education in single years","v133"
"120","na - de facto place of residence","v134"
"121","usual resident or visitor","v135"
"122","number of household members (listed)","v136"
"123","number of children 5 and under in household (de jure)","v137"
"124","number of eligible women in household (de facto)","v138"
"125","de jure region of residence","v139"
"126","de jure type of place of residence","v140"
"127","na - de jure place of residence","v141"
"128","educational attainment","v149"
"129","relationship to household head","v150"
"130","sex of household head","v151"
"131","age of household head","v152"
"132","household has: telephone (land-line)","v153"
"133","all woman factor - total","awfactt"
"134","all woman factor - urban/rural","awfactu"
"135","all woman factor - regional","awfactr"
"136","all woman factor - educational","awfacte"
"137","all woman factor - wealth index","awfactw"
"138","na - literacy","v155"
"139","na - ever participated in a literacy program outside of primary","v156"
"140","frequency of reading newspaper or magazine","v157"
"141","frequency of listening to radio","v158"
"142","frequency of watching television","v159"
"143","toilet facilities shared with other households","v160"
"144","type of cooking fuel","v161"
"145","na - result of salt test for iodine","v166"
"146","number of trips in last 12 months","v167"
"147","away for more than one month in last 12 months","v168"
"148","wealth index","v190"
"149","wealth index factor score (5 decimals)","v191"
"150","type of mosquito bed net(s) slept under last night","ml101"
"151","region","mv101"
"152","type of place of residence","mv102"
"153","na - childhood place of residence***","mv103"
"154","na - years lived in place of residence","mv104"
"155","na - type of place of previous residence","mv105"
"156","educational level","mv106"
"157","highest year of education (at level in mv106)","mv107"
"158","religion","mv130"
"159","na - ethnicity","mv131"
"160","total number of years of education","mv133"
"161","na - de facto place of residence","mv134"
"162","usual resident or visitor","mv135"
"163","number of household members (total listed)","mv136"
"164","number of eligible men in household (de facto)","mv138"
"165","educational attainment","mv149"
"166","relationship to household head","mv150"
"167","sex of household head","mv151"
"168","age of household head","mv152"
"169","na - literacy","mv155"
"170","na - ever participated in a literacy program (excluding primary school)","mv156"
"171","frequency of reading newspaper or magazine","mv157"
"172","frequency of listening to radio","mv158"
"173","frequency of watching television","mv159"
"174","times away from home in last 12 months","mv167"
"175","away for more than one month in last 12 months","mv168"
"176","wealth index","mv190"
"177","wealth index factor score (5 decimals)","mv191"
"178","birth column number","bidx_01"
"179","birth column number","bidx_02"
"180","birth column number","bidx_03"
"181","birth column number","bidx_04"
"182","birth column number","bidx_05"
"183","birth column number","bidx_06"
"184","birth column number","bidx_07"
"185","birth column number","bidx_08"
"186","birth column number","bidx_09"
"187","birth column number","bidx_10"
"188","birth column number","bidx_11"
"189","birth column number","bidx_12"
"190","birth column number","bidx_13"
"191","birth column number","bidx_14"
"192","birth column number","bidx_15"
"193","birth column number","bidx_16"
"194","birth column number","bidx_17"
"195","birth column number","bidx_18"
"196","birth column number","bidx_19"
"197","birth column number","bidx_20"
"198","birth order number","bord_01"
"199","birth order number","bord_02"
"200","birth order number","bord_03"
"201","birth order number","bord_04"
"202","birth order number","bord_05"
"203","birth order number","bord_06"
"204","birth order number","bord_07"
"205","birth order number","bord_08"
"206","birth order number","bord_09"
"207","birth order number","bord_10"
"208","birth order number","bord_11"
"209","birth order number","bord_12"
"210","birth order number","bord_13"
"211","birth order number","bord_14"
"212","birth order number","bord_15"
"213","birth order number","bord_16"
"214","birth order number","bord_17"
"215","birth order number","bord_18"
"216","birth order number","bord_19"
"217","birth order number","bord_20"
"218","child is twin","b0_01"
"219","child is twin","b0_02"
"220","child is twin","b0_03"
"221","child is twin","b0_04"
"222","child is twin","b0_05"
"223","child is twin","b0_06"
"224","child is twin","b0_07"
"225","child is twin","b0_08"
"226","child is twin","b0_09"
"227","child is twin","b0_10"
"228","child is twin","b0_11"
"229","child is twin","b0_12"
"230","child is twin","b0_13"
"231","child is twin","b0_14"
"232","child is twin","b0_15"
"233","child is twin","b0_16"
"234","child is twin","b0_17"
"235","child is twin","b0_18"
"236","child is twin","b0_19"
"237","child is twin","b0_20"
"238","month of birth","b1_01"
"239","month of birth","b1_02"
"240","month of birth","b1_03"
"241","month of birth","b1_04"
"242","month of birth","b1_05"
"243","month of birth","b1_06"
"244","month of birth","b1_07"
"245","month of birth","b1_08"
"246","month of birth","b1_09"
"247","month of birth","b1_10"
"248","month of birth","b1_11"
"249","month of birth","b1_12"
"250","month of birth","b1_13"
