Questionnaire, Recode                     , From standard questionnaire to standard recode
CCIQ71       , CCIR71                     , DHS-VII Core
HOUSEHOLD    , HOUSEHOLD                  , Household
QHSECOVER    , RECH0                      , Household cover page
QHCLUST      , HV001                      , Cluster number
QHNUMBER     , HV002                      , Household number
QHREGION     , HV024                      , Region of residence
QHELIGM      , HV027                      , Eligibility for male interview
QHINTD       , HV016                      , Day of household interview
QHINTM       , HV006                      , Month of household interview
QHINTY       , HV007                      , Year of household interview
QHINTC       , HV008                      , Date of HH interview (CMC)
QHINTNUM     , HV018                      , Interviewer number
QHRESULT     , HV015                      , Result of household interview
QHVISITS     , HV017                      , Number of household visits
QHMEMBER     , HV012-defacto/HV013-dejure , Total members in household
QHWOMEN      , HV010-defacto              , Eligible women in household
QHMEN        , HV011-defacto              , Eligible men in household
QHRESP       , HV003                      , Line of household respondent
QHLANGQ      , HV045A                     , Language of questionnaire
QHLANGI      , HV045B                     , Language of interview
QHLANGR      , HV045C                     , Language of respondent
QHTRANS      , HV046                      , Translator used
QHSUPERV     , HV030                      , Supervisor number
QHFEDIT      , HV032                      , Field editor number
QHOEDIT      , HV031                      , Office editor number
QHKEYER      , HV019                      , Data entry clerk
QHNUMDV      , HV044                      , Line number of woman eligible for domestic violence
QHINTC       , HV008                      , Date of household interview (CMC)
QHINTCD      , HV008A                     , Date of household interview Century Day Code (CDC)
QH100        , HV801                      , Start of household interview
QH100H       , in HV801                   , Start of household interview (hour)
QH100M       , in HV801                   , Start of household interview (minutes)
QHWEIGHT     , HV005                      , Household weight (6 decimals)
QMWEIGHT     , HV028                      , Household weight - male subsample (6 decimals)
QHSTRATA     , HV022                      , Sampling errors stratum
QHWLTHF      , HV271                      , Wealth index factor (5 decimals)
QHWLTHI      , HV270                      , Wealth index quintile
QHWLTFUR     , HV271A                     , Wealth index factor (5 decimals)
QHWLTIUR     , HV270A                     , Wealth index quintile
QHTYPE       , HV025                      , Type of place of residence (rural/urban)
QHALTIT      , HV040                      , Cluster altitude in meters
QHELIHEM     , HV027                      , Eligibility for hemoglobin
QCHL22       , CHL0 (RECHCHL)             , Total de jure children 5-14 in household for child labor
QHSEC01      , RECH1                      , Household Schedule
QH01         , HVIDX                      , Line number of member
QH03         , HV101                      , Relationship to head
QH04         , HV104                      , Sex of household member
QH05         , HV102                      , Usual resident
QH06         , HV103                      , Slept last night
QH07         , HV105                      , Age of household members
QH08         , HV140                      , Marital status
QH09         , HV115                      , Eligibility for female interview
QH10         , HV118                      , Eligibility for male interview
QH11         , HV117                      , Child's eligibility for interview
QH12         , HV111                      , Mother alive
QH13         , HV112                      , Mother's line number
QH14         , HV113                      , Father alive
QH15         , HV114                      , Father's line number
QH16         , in HV106                   , Ever attended school
QH17A        , in HV106                   , Level of education attended
QH17B        , HV107                      , Highest grade completed
QH18         , HV121                      , Attend school current year
QH19A        , in HV122                   , Level of education attending
QH19B        , HV123                      , Grade attending
QH20         , HV140                      , Birth certificate / registered
QH26         , HDIS1 (RECHDIS)            , Wear glasses or contact lenses
QH27         , in HDIS2 (RECHDIS)         , Have difficulty seeing even when wearing glasses or contact lenses
QH28         , in HDIS2 (RECHDIS)         , Have difficulty seeing (don't wear glasses)
QH29         , HDIS3 (RECHDIS)            , Wear a hearing aid
QH30         , in HDIS4 (RECHDIS)         , Have difficulty hearing even when using a hearing aid
QH31         , in HDIS4 (RECHDIS)         , Have difficulty hearing (don't wear hearing aid)
QH32         , HDIS5 (RECHDIS)            , Have difficulty communicating using usual language
QH33         , HDIS6 (RECHDIS)            , Have difficulty remembering or concentrating
QH34         , HDIS7 (RECHDIS)            , Have difficulty walking or climbing steps
QH35         , HDIS8 (RECHDIS)            , Have difficulty washing all over or dressing
ML07I        , HML16 (RECHMH)             , Age corrected from individual questionnaire
ML07F        , HML17 (RCHHMH)             , Flag for age correction
MLPREG       , HML18 (RECHMH)             , Pregnancy status from individual questionnaire
QHSEC02      , RECH2                      , Household Characteristics
QH101        , HV201                      , Source of drinking water
QH102        , HV202                      , Source of non-drinking water
QH103        , HV235                      , Location of source for water
QH104        , HV204                      , Time to water and back (in minutes)
QH106        , HV201A                     , Water not available for at least a day
QH107        , HV237                      , Do anything to water to make safe to drink
QH108        , HV237A-HV237Z              , What do you usually do to make water safe to drink
QH109        , HV205                      , Type of toilet facility
QH110        , HV225                      , Share facilities with other households
QH111        , HV238                      , Number of households sharing toilet
QH112        , HV238A                     , Location of toilet facility
QH113        , HV226                      , Type of cooking fuel
QH114        , HV241                      , Food cooked in the house / in separate building / outdoors 
QH115        , HV242                      , Household has separate room used as kitchen
QH116        , HV216                      , Number of rooms used for sleeping
QH117        , HV246                      , Livestock/ herds or farm animals
QH118A       , HV246A                     , Cattle
