NAME      , LABEL
caseid    , case identification 
v000      , country code and phase  
v001      , cluster number  
v002      , household number    
v003      , respondent's line number    
v004      , ultimate area unit  
v005      , sample weight   
v006      , month of interview  
v007      , year of interview   
v008      , date of interview (cmc) 
v009      , respondent's month of birth 
v010      , respondent's year of birth  
v011      , date of birth (cmc) 
v012      , current age - respondent    
v013      , age 5-year groups   
v014      , completeness of information 
v015      , result of individual interview  
v016      , day of interview    
v017      , cmc start of calendar   
v018      , row of month of interview   
v019      , length of calendar  
v019a     , number of calendar columns  
v020      , ever-married sample 
v021      , primary sampling unit   
v022      , sample stratum number   
v023      , sample domain   
v024      , region  
v025      , type of place of residence  
v026      , de facto place of residence 
v027      , number of visits    
v028      , interviewer identification  
v029      , keyer identification    
v030      , field supervisor    
v031      , field editor    
v032      , office editor   
v033      , ultimate area selection prob.   
v034      , line number of husband  
v040      , cluster altitude in meters  
v042      , household selection for hemoglobin  
v043      , selection for women's status module 
v044      , selection for domestic violence module  
v101      , region  
v102      , type of place of residence  
v103      , childhood place of residence    
v104      , years lived in place of res.    
v105      , type of place of previous res.  
v106      , highest educational level   
v107      , highest year of education   
v113      , source of drinking water    
v115      , time to get to water source 
v116      , type of toilet facility 
v119      , has electricity 
v120      , has radio   
v121      , has television  
v122      , has refrigerator    
v123      , has bicycle 
v124      , has motorcycle/scooter  
v125      , has car/truck   
v127      , main floor material 
v128      , main wall material  
v129      , main roof material  
v130      , religion    
v131      , ethnicity   
v133      , education in single years   
v134      , de facto place of residence 
v135      , usual resident or visitor   
v136      , number of household members 
v137      , number of children 5 and under  
v138      , number of eligible women in hh  
v139      , de jure region of residence 
v140      , de jure type of place of res.   
v141      , de jure place of residence  
v149      , educational attainment  
v150      , relationship to household head  
v151      , sex of household head   
v152      , age of household head   
v153      , has telephone   
awfactt   , all woman factor - total    
awfactu   , all woman factor - urban/rural  
awfactr   , all woman factor - regional 
awfacte   , all woman factor - educational  
awfactw   , all woman factor - wealth index 
v155      , literacy    
v156      , ever participated in a literacy program outside of primary  
v157      , frequency of reading newpaper or magazine   
v158      , frequency of listening to radio 
v159      , frequency of watching television    
v160      , toilet facilities shared    
v161      , type of cooking fuel    
v166      , results of salt iodine test 
v167      , number of trips in last 12 months   
v168      , away for more than one month in last 12 months  
v190      , wealth index    
v191      , wealth index factor score (5 decimals)  
ml101     , type of bednet(s) slept under last night    
bidx_01   , birth column number 
bidx_02   , birth column number 
bidx_03   , birth column number 
bidx_04   , birth column number 
bidx_05   , birth column number 
bidx_06   , birth column number 
bidx_07   , birth column number 
bidx_08   , birth column number 
bidx_09   , birth column number 
bidx_10   , birth column number 
bidx_11   , birth column number 
bidx_12   , birth column number 
bidx_13   , birth column number 
bidx_14   , birth column number 
bidx_15   , birth column number 
bidx_16   , birth column number 
bidx_17   , birth column number 
bidx_18   , birth column number 
bidx_19   , birth column number 
bidx_20   , birth column number 
bord_01   , birth order number  
bord_02   , birth order number  
bord_03   , birth order number  
bord_04   , birth order number  
bord_05   , birth order number  
bord_06   , birth order number  
bord_07   , birth order number  
bord_08   , birth order number  
bord_09   , birth order number  
bord_10   , birth order number  
bord_11   , birth order number  
bord_12   , birth order number  
bord_13   , birth order number  
